diacritic,pronunciation,label,values,triggers,weight
null_1,null,nominalizer,set(),set(),28.099999999999753
la_1,la,definite,"{'+definite', '+atomic'}",set(),10.100000000000001
a_1,a,atomic,{'+atomic'},set(),41.000000000000064
null_2,null,nominalizer,{'la_1'},set(),9.9
null_3,null,nominalizer,{'la_1'},"{('a', frozenset({'+atomic'}))}",10.0
FROG_1,FROG,FROG,set(),set(),11.000000000000002
FROG_2,FROG,FROG,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.200000000000001
lo_1,lo,definite,"{'+definite', '+atomic'}",set(),10.400000000000002
o_1,o,atomic,{'+atomic'},set(),36.70000000000004
null_4,null,nominalizer,{'lo_1'},set(),10.0
null_5,null,nominalizer,{'lo_1'},"{('o', frozenset({'+atomic'}))}",10.0
CASTLE_1,CASTLE,CASTLE,set(),set(),10.500000000000002
CASTLE_2,CASTLE,CASTLE,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",12.300000000000002
le_1,le,definite,"{'+definite', '-atomic'}",set(),11.300000000000002
l_1,l,definite,{'+definite'},set(),191.3999999999952
a_2,a,Agr,{'+atomic'},set(),86.59999999999957
e_1,e,Agr,{'-atomic'},set(),56.40000000000045
o_2,o,Agr,{'+atomic'},set(),83.79999999999976
i_1,i,atomic,{'-atomic'},set(),29.600000000000037
null_6,null,nominalizer,{'e_1'},set(),12.499999999999998
null_7,null,nominalizer,{'e_1'},"{('i', frozenset({'-atomic'}))}",12.89999999999999
KEY_1,KEY,KEY,set(),set(),11.8
KEY_2,KEY,KEY,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",9.700000000000003
uno_1,uno,definite,"{'-definite', '+atomic'}",set(),9.800000000000002
un_1,un,definite,{'-definite'},set(),78.8999999999999
null_8,null,nominalizer,{'o_2'},set(),13.700000000000017
null_9,null,nominalizer,{'o_2'},"{('o', frozenset({'+atomic'}))}",11.8
GRANDPARENT_1,GRANDPARENT,GRANDPARENT,set(),set(),10.400000000000002
GRANDPARENT_2,GRANDPARENT,GRANDPARENT,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",9.900000000000002
null_10,null,nominalizer,{'a_2'},set(),13.800000000000015
null_11,null,nominalizer,{'a_2'},"{('a', frozenset({'+atomic'}))}",12.0
GRANDPARENT_3,GRANDPARENT,GRANDPARENT,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",9.600000000000001
CHILD_1,CHILD,CHILD,set(),set(),9.100000000000003
CHILD_2,CHILD,CHILD,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.200000000000003
MOUSE_1,MOUSE,MOUSE,set(),set(),9.700000000000003
MOUSE_2,MOUSE,MOUSE,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",10.900000000000002
una_1,una,definite,"{'-definite', '+atomic'}",set(),11.800000000000002
MILKCOW_1,MILKCOW,MILKCOW,set(),set(),11.400000000000002
MILKCOW_2,MILKCOW,MILKCOW,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.8
li_1,li,definite,"{'+definite', '-atomic'}",set(),11.200000000000003
i_2,i,Agr,{'-atomic'},set(),55.900000000000425
null_12,null,nominalizer,"{'i_2', 'o_2'}",set(),12.099999999999998
null_13,null,nominalizer,"{'i_2', 'o_2'}","{('i', frozenset({'-atomic'}))}",10.599999999999998
