diacritic,pronunciation,label,values,triggers,weight
la_1,la,definite,"{'+feminine', '+atomic', '+definite'}",set(),11.0
a_1,a,atomic,{'+atomic'},set(),66.70000000000013
null_1,null,nominalizer,{'+feminine'},set(),43.900000000000006
null_2,null,nominalizer,{'+feminine'},"{('a', frozenset({'+atomic'}))}",25.700000000000102
MILKCOW_1,MILKCOW,MILKCOW,set(),set(),9.700000000000005
MILKCOW_2,MILKCOW,MILKCOW,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",12.800000000000002
la_2,la,definite,"{'+atomic', '+definite'}",set(),23.10000000000008
null_3,null,nominalizer,set(),set(),70.49999999999977
null_4,null,nominalizer,set(),"{('a', frozenset({'+atomic'}))}",9.600000000000001
CAR_1,CAR,CAR,set(),set(),9.200000000000003
CAR_2,CAR,CAR,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.100000000000003
le_1,le,definite,"{'+feminine', '+definite', '-atomic'}",set(),10.0
l_1,l,definite,"{'+feminine', '+definite'}",set(),37.300000000000274
a_2,a,Agr,{'+atomic'},set(),73.20000000000013
e_1,e,Agr,{'-atomic'},set(),31.300000000000125
l_2,l,definite,{'+definite'},set(),372.4000000000121
e_2,e,Agr,"{'+feminine', '-atomic'}",set(),72.00000000000017
e_3,e,atomic,{'-atomic'},set(),43.40000000000007
null_5,null,nominalizer,{'+feminine'},"{('e', frozenset({'-atomic'}))}",25.40000000000011
MOTHER_1,MOTHER,MOTHER,set(),set(),10.700000000000003
MOTHER_2,MOTHER,MOTHER,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",11.200000000000003
li_1,li,definite,"{'-atomic', '-feminine', '+definite'}",set(),10.0
a_3,a,Agr,"{'+feminine', '+atomic'}",set(),48.30000000000029
i_1,i,Agr,"{'-feminine', '-atomic'}",set(),56.100000000000456
l_3,l,definite,"{'+definite', '-atomic'}",set(),76.29999999999993
e_4,e,Agr,{'+feminine'},set(),55.30000000000041
i_2,i,Agr,{'-feminine'},set(),39.20000000000021
i_3,i,atomic,{'-atomic'},set(),48.500000000000085
null_6,null,nominalizer,{'-feminine'},set(),42.40000000000004
null_7,null,nominalizer,{'-feminine'},"{('i', frozenset({'-atomic'}))}",27.100000000000126
CLOWN_1,CLOWN,CLOWN,set(),set(),10.700000000000003
CLOWN_2,CLOWN,CLOWN,set(),"{('i', frozenset({'-atomic'})), ('null', frozenset())}",10.200000000000003
una_1,una,definite,"{'+feminine', '-definite', '+atomic'}",set(),10.0
un_1,un,definite,{'-definite'},set(),118.59999999999852
un_2,un,definite,"{'+feminine', '-definite'}",set(),35.40000000000024
MOTHER_3,MOTHER,MOTHER,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",9.900000000000004
MOTHER_4,MOTHER,MOTHER,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset()), ('a', frozenset({'+atomic'}))}",12.100000000000001
POTATO_1,POTATO,POTATO,set(),set(),10.700000000000003
POTATO_2,POTATO,POTATO,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.500000000000002
una_2,una,definite,"{'+atomic', '-definite'}",set(),22.50000000000007
e_5,e,atomic,{'+atomic'},set(),17.499999999999996
null_8,null,nominalizer,set(),"{('e', frozenset({'+atomic'}))}",9.600000000000003
TOWER_1,TOWER,TOWER,set(),set(),11.0
TOWER_2,TOWER,TOWER,set(),"{('e', frozenset({'+atomic'})), ('null', frozenset())}",11.8
null_9,null,nominalizer,{'-feminine'},"{('e', frozenset({'+atomic'}))}",25.600000000000108
null_10,null,nominalizer,{'-feminine'},"{('i', frozenset({'-atomic'})), ('e', frozenset({'+atomic'}))}",25.80000000000011
lo_1,lo,definite,"{'+atomic', '-feminine', '+definite'}",set(),10.0
l_4,l,definite,"{'+atomic', '+definite'}",set(),47.90000000000043
a_4,a,Agr,{'+feminine'},set(),51.400000000000276
o_1,o,Agr,{'-feminine'},set(),74.10000000000007
o_2,o,Agr,"{'+atomic', '-feminine'}",set(),70.1000000000003
l_5,l,definite,"{'-feminine', '+definite'}",set(),61.60000000000058
i_4,i,Agr,{'-atomic'},set(),46.10000000000027
o_3,o,Agr,{'+atomic'},set(),93.09999999999937
o_4,o,atomic,{'+atomic'},set(),74.0
null_11,null,nominalizer,{'-feminine'},"{('o', frozenset({'+atomic'}))}",25.900000000000112
CLOWN_3,CLOWN,CLOWN,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",14.000000000000002
