diacritic,pronunciation,label,values,triggers,weight
null_1,null,nominalizer,set(),set(),86.6000000000008
la_1,la,definite,"{'+atomic', '+definite'}",set(),15.400000000000006
a_1,a,atomic,{'+atomic'},set(),435.8000000000029
null_2,null,nominalizer,{'la_1'},set(),10.0
null_3,null,nominalizer,{'la_1'},"{('a', frozenset({'+atomic'}))}",10.0
GRANDPARENT_1,GRANDPARENT,GRANDPARENT,set(),set(),13.099999999999993
GRANDPARENT_2,GRANDPARENT,GRANDPARENT,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",13.899999999999995
li_1,li,definite,"{'-atomic', '+definite'}",set(),13.200000000000001
l_1,l,definite,{'+definite'},set(),1392.5999999998783
a_2,a,Agr,{'+atomic'},set(),742.4000000000435
i_1,i,Agr,{'-atomic'},set(),323.2000000000047
i_2,i,atomic,{'-atomic'},set(),49.000000000000085
null_4,null,nominalizer,{'i_1'},set(),41.20000000000019
null_5,null,nominalizer,{'i_1'},"{('i', frozenset({'-atomic'}))}",30.700000000000177
BOOK_1,BOOK,BOOK,set(),set(),12.299999999999995
BOOK_2,BOOK,BOOK,set(),"{('i', frozenset({'-atomic'})), ('null', frozenset())}",10.299999999999999
null_6,null,nominalizer,{'a_2'},set(),118.6000000000015
null_7,null,nominalizer,{'a_2'},"{('a', frozenset({'+atomic'}))}",33.29999999999995
BALL_1,BALL,BALL,set(),set(),23.70000000000005
BALL_2,BALL,BALL,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",26.000000000000057
DIFFERENCE_1,DIFFERENCE,DIFFERENCE,set(),set(),10.1
DIFFERENCE_2,DIFFERENCE,DIFFERENCE,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",10.6
lo_1,lo,definite,"{'+atomic', '+definite'}",set(),10.500000000000007
o_1,o,Agr,{'+atomic'},set(),493.6000000000374
e_1,e,atomic,{'+atomic'},set(),47.90000000000003
null_8,null,nominalizer,{'o_1'},set(),19.199999999999974
null_9,null,nominalizer,{'o_1'},"{('e', frozenset({'+atomic'}))}",9.600000000000005
BALLOON_1,BALLOON,BALLOON,set(),set(),10.899999999999997
BALLOON_2,BALLOON,BALLOON,set(),"{('e', frozenset({'+atomic'})), ('null', frozenset())}",11.099999999999996
o_2,o,atomic,{'+atomic'},set(),124.29999999999896
null_10,null,nominalizer,{'o_1'},"{('o', frozenset({'+atomic'}))}",13.300000000000002
TABLE_1,TABLE,TABLE,set(),set(),10.399999999999999
TABLE_2,TABLE,TABLE,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",11.599999999999998
una_1,una,definite,"{'+atomic', '-definite'}",set(),10.800000000000002
un_1,un,definite,{'-definite'},set(),494.7000000000337
BALLDIM_1,BALLDIM,BALLDIM,set(),set(),15.699999999999982
BALLDIM_2,BALLDIM,BALLDIM,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",15.299999999999994
HOUSEDIM_1,HOUSEDIM,HOUSEDIM,set(),set(),10.399999999999999
HOUSEDIM_2,HOUSEDIM,HOUSEDIM,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",10.6
MAT_1,MAT,MAT,set(),set(),10.399999999999999
MAT_2,MAT,MAT,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",10.599999999999998
ROOF_1,ROOF,ROOF,set(),set(),10.999999999999998
ROOF_2,ROOF,ROOF,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",11.699999999999998
null_11,null,nominalizer,{'a_2'},"{('e', frozenset({'+atomic'}))}",6.40000000000002
TOWER_1,TOWER,TOWER,set(),set(),14.399999999999991
TOWER_2,TOWER,TOWER,set(),"{('e', frozenset({'+atomic'})), ('null', frozenset())}",18.1
MOTHER_1,MOTHER,MOTHER,set(),set(),57.200000000000244
MOTHER_2,MOTHER,MOTHER,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",76.59999999999997
FINGER_1,FINGER,FINGER,set(),set(),13.799999999999986
FINGER_2,FINGER,FINGER,set(),"{('i', frozenset({'-atomic'})), ('null', frozenset())}",11.599999999999998
uno_1,uno,definite,"{'+atomic', '-definite'}",set(),11.100000000000001
FINGER_3,FINGER,FINGER,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",13.299999999999992
FINGER_4,FINGER,FINGER,set(),"{('i', frozenset({'-atomic'})), ('o', frozenset({'+atomic'})), ('null', frozenset())}",9.500000000000004
HEAD_1,HEAD,HEAD,set(),set(),14.099999999999993
HEAD_2,HEAD,HEAD,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",19.80000000000001
MILK_1,MILK,MILK,set(),set(),10.299999999999999
MILK_2,MILK,MILK,set(),"{('e', frozenset({'+atomic'})), ('null', frozenset())}",10.499999999999998
le_1,le,definite,"{'-atomic', '+definite'}",set(),9.300000000000002
e_2,e,Agr,{'-atomic'},set(),296.59999999999883
e_3,e,atomic,{'-atomic'},set(),27.100000000000033
null_12,null,nominalizer,{'e_2'},set(),45.60000000000016
null_13,null,nominalizer,{'e_2'},"{('e', frozenset({'-atomic'}))}",28.500000000000156
WHEELB_1,WHEELB,WHEELB,set(),set(),14.19999999999999
WHEELB_2,WHEELB,WHEELB,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",11.699999999999998
HEN_1,HEN,HEN,set(),set(),11.299999999999997
HEN_2,HEN,HEN,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",11.199999999999998
CHICK_1,CHICK,CHICK,set(),set(),11.399999999999995
CHICK_2,CHICK,CHICK,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",11.299999999999995
CUBE_1,CUBE,CUBE,set(),set(),10.2
CUBE_2,CUBE,CUBE,set(),"{('i', frozenset({'-atomic'})), ('null', frozenset())}",10.1
PASTIME_1,PASTIME,PASTIME,set(),set(),10.1
PASTIME_2,PASTIME,PASTIME,set(),"{('i', frozenset({'-atomic'})), ('null', frozenset())}",10.1
null_14,null,nominalizer,{'a_2'},"{('o', frozenset({'+atomic'}))}",6.7000000000000135
HAND_1,HAND,HAND,set(),set(),12.999999999999991
HAND_2,HAND,HAND,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",13.199999999999994
FOOT_1,FOOT,FOOT,set(),set(),12.599999999999993
FOOT_2,FOOT,FOOT,set(),"{('i', frozenset({'-atomic'})), ('null', frozenset())}",11.799999999999997
SLEEPYTIME_1,SLEEPYTIME,SLEEPYTIME,set(),set(),14.49999999999999
SLEEPYTIME_2,SLEEPYTIME,SLEEPYTIME,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",23.200000000000017
BABYFOOD_1,BABYFOOD,BABYFOOD,set(),set(),10.399999999999999
BABYFOOD_2,BABYFOOD,BABYFOOD,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",10.899999999999999
null_15,null,atomic,{'+atomic'},set(),0.0001
null_16,null,nominalizer,{'o_1'},"{('null', frozenset({'+atomic'}))}",9.500000000000002
PAPA_1,PAPA,PAPA,set(),set(),15.099999999999982
PAPA_2,PAPA,PAPA,set(),"{('null', frozenset({'+atomic'})), ('null', frozenset())}",14.799999999999983
JUICE_1,JUICE,JUICE,set(),set(),10.2
JUICE_2,JUICE,JUICE,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",10.1
PASTATYPE_1,PASTATYPE,PASTATYPE,set(),set(),10.7
PASTATYPE_2,PASTATYPE,PASTATYPE,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",10.899999999999999
FRUIT_1,FRUIT,FRUIT,set(),set(),10.7
FRUIT_2,FRUIT,FRUIT,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",10.1
TOMATO_1,TOMATO,TOMATO,set(),set(),10.7
TOMATO_2,TOMATO,TOMATO,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",10.399999999999999
POTATO_1,POTATO,POTATO,set(),set(),10.499999999999998
POTATO_2,POTATO,POTATO,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",10.999999999999998
FISH_1,FISH,FISH,set(),set(),11.199999999999996
FISH_2,FISH,FISH,set(),"{('e', frozenset({'+atomic'})), ('null', frozenset())}",10.6
HAM_1,HAM,HAM,set(),set(),10.0
HAM_2,HAM,HAM,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",10.1
THREAD_1,THREAD,THREAD,set(),set(),10.0
THREAD_2,THREAD,THREAD,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",10.2
GYMNASTICS_1,GYMNASTICS,GYMNASTICS,set(),set(),11.299999999999999
GYMNASTICS_2,GYMNASTICS,GYMNASTICS,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",10.299999999999999
null_17,null,nominalizer,{'e_2'},"{('i', frozenset({'-atomic'}))}",28.700000000000152
HAND_3,HAND,HAND,set(),"{('i', frozenset({'-atomic'})), ('null', frozenset())}",12.599999999999996
HAND_4,HAND,HAND,set(),"{('i', frozenset({'-atomic'})), ('o', frozenset({'+atomic'})), ('null', frozenset())}",13.500000000000002
LEG_1,LEG,LEG,set(),set(),10.2
LEG_2,LEG,LEG,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",10.1
NOSE_1,NOSE,NOSE,set(),set(),11.099999999999996
NOSE_2,NOSE,NOSE,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",11.799999999999995
MOUTH_1,MOUTH,MOUTH,set(),set(),11.099999999999998
MOUTH_2,MOUTH,MOUTH,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",12.099999999999998
CATDIM_1,CATDIM,CATDIM,set(),set(),10.999999999999996
CATDIM_2,CATDIM,CATDIM,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",11.499999999999996
CATDIM_3,CATDIM,CATDIM,set(),"{('i', frozenset({'-atomic'})), ('null', frozenset())}",10.0
CATDIM_4,CATDIM,CATDIM,set(),"{('i', frozenset({'-atomic'})), ('o', frozenset({'+atomic'})), ('null', frozenset())}",9.400000000000002
LION_1,LION,LION,set(),set(),11.199999999999996
LION_2,LION,LION,set(),"{('e', frozenset({'+atomic'})), ('null', frozenset())}",11.599999999999996
LION_3,LION,LION,set(),"{('i', frozenset({'-atomic'})), ('null', frozenset())}",9.9
LION_4,LION,LION,set(),"{('e', frozenset({'+atomic'})), ('i', frozenset({'-atomic'})), ('null', frozenset())}",9.500000000000002
COUSIN_1,COUSIN,COUSIN,set(),set(),10.1
COUSIN_2,COUSIN,COUSIN,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",10.6
GRANDPARENT_3,GRANDPARENT,GRANDPARENT,set(),"{('i', frozenset({'-atomic'})), ('null', frozenset())}",11.999999999999998
GRANDPARENT_4,GRANDPARENT,GRANDPARENT,set(),"{('a', frozenset({'+atomic'})), ('i', frozenset({'-atomic'})), ('null', frozenset())}",11.0
HOLEDIM_1,HOLEDIM,HOLEDIM,set(),set(),10.1
HOLEDIM_2,HOLEDIM,HOLEDIM,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",10.299999999999999
LITTLEBIT_1,LITTLEBIT,LITTLEBIT,set(),set(),10.799999999999997
LITTLEBIT_2,LITTLEBIT,LITTLEBIT,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",12.699999999999996
TROLLEY_1,TROLLEY,TROLLEY,set(),set(),10.2
TROLLEY_2,TROLLEY,TROLLEY,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",10.899999999999999
PIECE_1,PIECE,PIECE,set(),set(),12.499999999999991
PIECE_2,PIECE,PIECE,set(),"{('i', frozenset({'-atomic'})), ('null', frozenset())}",10.1
BUTTONDIM_1,BUTTONDIM,BUTTONDIM,set(),set(),10.0
BUTTONDIM_2,BUTTONDIM,BUTTONDIM,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",10.299999999999999
BUTTON_1,BUTTON,BUTTON,set(),set(),10.399999999999999
BUTTON_2,BUTTON,BUTTON,set(),"{('e', frozenset({'+atomic'})), ('null', frozenset())}",11.099999999999998
DOGDIM_1,DOGDIM,DOGDIM,set(),set(),10.899999999999997
DOGDIM_2,DOGDIM,DOGDIM,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",10.899999999999997
BIB_1,BIB,BIB,set(),set(),10.2
BIB_2,BIB,BIB,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",10.1
POCKET_1,POCKET,POCKET,set(),set(),10.1
POCKET_2,POCKET,POCKET,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",10.7
BALLDIM_3,BALLDIM,BALLDIM,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",13.899999999999993
BALLDIM_4,BALLDIM,BALLDIM,set(),"{('a', frozenset({'+atomic'})), ('e', frozenset({'-atomic'})), ('null', frozenset())}",12.600000000000001
TONGUEDIM_1,TONGUEDIM,TONGUEDIM,set(),set(),10.2
TONGUEDIM_2,TONGUEDIM,TONGUEDIM,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",11.2
MUSIC_1,MUSIC,MUSIC,set(),set(),10.299999999999999
MUSIC_2,MUSIC,MUSIC,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",11.299999999999999
null_18,null,nominalizer,"{'e_2', 'a_2'}",set(),45.800000000000196
null_19,null,nominalizer,"{'e_2', 'a_2'}","{('e', frozenset({'-atomic'}))}",35.3000000000002
null_20,null,nominalizer,"{'e_2', 'a_2'}","{('i', frozenset({'-atomic'}))}",33.8000000000002
BELLY_1,BELLY,BELLY,set(),set(),10.1
BELLY_2,BELLY,BELLY,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",10.0
TAPERECORDER_1,TAPERECORDER,TAPERECORDER,set(),set(),10.799999999999997
TAPERECORDER_2,TAPERECORDER,TAPERECORDER,set(),"{('e', frozenset({'+atomic'})), ('null', frozenset())}",10.299999999999999
LID_1,LID,LID,set(),set(),10.499999999999998
