diacritic,pronunciation,label,values,triggers,weight
null_1,null,nominalizer,set(),set(),706.999999999996
la_1,la,definite,"{'+atomic', '+definite'}",set(),9.500000000000004
a_1,a,atomic,{'+atomic'},set(),482.2999999999971
null_2,null,nominalizer,{'la_1'},set(),10.0
null_3,null,nominalizer,{'la_1'},"{('a', frozenset({'+atomic'}))}",10.5
GRANDPARENT_1,GRANDPARENT,GRANDPARENT,set(),set(),11.000000000000002
GRANDPARENT_2,GRANDPARENT,GRANDPARENT,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",10.000000000000002
li_1,li,definite,"{'+definite', '-atomic'}",set(),8.600000000000005
l_1,l,definite,{'+definite'},set(),927.0999999999883
a_2,a,Agr,{'+atomic'},set(),509.1999999999954
i_1,i,Agr,{'-atomic'},set(),110.90000000000016
i_2,i,atomic,{'-atomic'},set(),114.4000000000002
null_4,null,nominalizer,{'i_1'},set(),126.59999999999957
null_5,null,nominalizer,{'i_1'},"{('i', frozenset({'-atomic'}))}",28.200000000000156
BOOK_1,BOOK,BOOK,set(),set(),10.400000000000002
BOOK_2,BOOK,BOOK,set(),"{('i', frozenset({'-atomic'})), ('null', frozenset())}",10.0
null_6,null,nominalizer,{'a_2'},set(),73.80000000000001
null_7,null,nominalizer,{'a_2'},"{('a', frozenset({'+atomic'}))}",28.500000000000014
BALL_1,BALL,BALL,set(),set(),17.400000000000002
BALL_2,BALL,BALL,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",30.599999999999994
DIFFERENCE_1,DIFFERENCE,DIFFERENCE,set(),set(),10.5
DIFFERENCE_2,DIFFERENCE,DIFFERENCE,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",10.0
lo_1,lo,definite,"{'+atomic', '+definite'}",set(),8.600000000000005
o_1,o,Agr,{'+atomic'},set(),504.59999999999627
e_1,e,atomic,{'+atomic'},set(),87.20000000000007
null_8,null,nominalizer,{'o_1'},set(),88.80000000000008
null_9,null,nominalizer,{'o_1'},"{('e', frozenset({'+atomic'}))}",10.500000000000002
BALLOON_1,BALLOON,BALLOON,set(),set(),11.3
BALLOON_2,BALLOON,BALLOON,set(),"{('e', frozenset({'+atomic'})), ('null', frozenset())}",12.4
o_2,o,atomic,{'+atomic'},set(),398.0999999999981
null_10,null,nominalizer,{'o_1'},"{('o', frozenset({'+atomic'}))}",19.400000000000002
TABLE_1,TABLE,TABLE,set(),set(),10.200000000000001
TABLE_2,TABLE,TABLE,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",12.0
una_1,una,definite,"{'-definite', '+atomic'}",set(),9.400000000000002
un_1,un,definite,{'-definite'},set(),259.000000000001
BALLDIM_1,BALLDIM,BALLDIM,set(),set(),10.300000000000004
BALLDIM_2,BALLDIM,BALLDIM,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",15.5
HOUSEDIM_1,HOUSEDIM,HOUSEDIM,set(),set(),9.9
HOUSEDIM_2,HOUSEDIM,HOUSEDIM,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",11.5
MAT_1,MAT,MAT,set(),set(),10.8
MAT_2,MAT,MAT,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",13.0
ROOF_1,ROOF,ROOF,set(),set(),10.9
ROOF_2,ROOF,ROOF,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",13.0
null_11,null,nominalizer,{'a_2'},"{('e', frozenset({'+atomic'}))}",10.400000000000002
TOWER_1,TOWER,TOWER,set(),set(),11.400000000000004
TOWER_2,TOWER,TOWER,set(),"{('e', frozenset({'+atomic'})), ('null', frozenset())}",22.5
MOTHER_1,MOTHER,MOTHER,set(),set(),20.500000000000007
MOTHER_2,MOTHER,MOTHER,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",104.70000000000002
